PrecinctCode,Party,TotalVotes
1,REP,1270
2,REP,441
3,REP,1442
4,REP,610
5,REP,1222
6,REP,3718
7,REP,1996
8,REP,2426
9,REP,399
10,REP,503
11,REP,1502
12,REP,880
13,REP,1665
14,REP,2159
15,REP,1288
16,REP,454
17,REP,352
18,REP,508
19,REP,1902
20,REP,248
21,REP,388
22,REP,559
23,REP,873
24,REP,162
25,REP,1305
26,REP,1200
27,REP,3130
28,REP,1484
29,REP,539
30,REP,1160
31,REP,1246
32,REP,1214
33,REP,2727
34,REP,1534
35,REP,1220
36,REP,1788
37,REP,1253
38,REP,1241
39,REP,375
40,REP,356
41,REP,968
42,REP,2048
43,REP,276
44,REP,555
45,REP,2553
46,REP,1422
47,REP,488
48,REP,737
49,REP,628
50,REP,1017
51,REP,1078
52,REP,2301
53,REP,820
54,REP,1198
55,REP,1781
56,REP,295
57,REP,852
58,REP,592
59,REP,2577
60,REP,1312
61,REP,549
62,REP,2284
63,REP,594
64,REP,826
65,REP,1485
66,REP,1396
67,REP,1616
68,REP,1144
69,REP,1408
70,REP,3673
71,REP,773
72,REP,1071
73,REP,2438
74,REP,52
75,REP,1422
76,REP,1352
77,REP,1451
78,REP,1332
79,REP,807
80,REP,529
81,REP,773
82,REP,1756
83,REP,4481
84,REP,1013
85,REP,1139
86,REP,1073
87,REP,709
88,REP,365
89,REP,694
90,REP,1329
91,REP,1687
92,REP,1002
93,REP,1219
94,REP,953
95,REP,1445
96,REP,807
97,REP,1807
98,REP,1106
99,REP,949
100,REP,977
101,REP,1139
102,REP,972
103,REP,1852
104,REP,370
105,REP,1593
106,REP,303
107,REP,1336
108,REP,2142
109,REP,2236
110,REP,3578
111,REP,1735
112,REP,964
1,DEM,1344
2,DEM,240
3,DEM,839
4,DEM,302
5,DEM,570
6,DEM,2163
7,DEM,2071
8,DEM,1560
9,DEM,148
10,DEM,218
11,DEM,795
12,DEM,377
13,DEM,752
14,DEM,1274
15,DEM,979
16,DEM,149
17,DEM,226
18,DEM,354
19,DEM,801
20,DEM,107
21,DEM,259
22,DEM,255
23,DEM,393
24,DEM,128
25,DEM,1035
26,DEM,575
27,DEM,1175
28,DEM,1103
29,DEM,370
30,DEM,920
31,DEM,1112
32,DEM,885
33,DEM,1392
34,DEM,891
35,DEM,799
36,DEM,1378
37,DEM,648
38,DEM,1059
39,DEM,162
40,DEM,210
41,DEM,491
42,DEM,1339
43,DEM,227
44,DEM,370
45,DEM,1027
46,DEM,1042
47,DEM,375
48,DEM,502
49,DEM,302
50,DEM,748
51,DEM,790
52,DEM,1413
53,DEM,617
54,DEM,1016
55,DEM,1152
56,DEM,174
57,DEM,543
58,DEM,412
59,DEM,1635
60,DEM,959
61,DEM,347
62,DEM,1179
63,DEM,384
64,DEM,511
65,DEM,1031
66,DEM,1007
67,DEM,805
68,DEM,636
69,DEM,658
70,DEM,2538
71,DEM,307
72,DEM,810
73,DEM,2106
74,DEM,67
75,DEM,911
76,DEM,680
77,DEM,573
78,DEM,803
79,DEM,239
80,DEM,302
81,DEM,314
82,DEM,884
83,DEM,2273
84,DEM,602
85,DEM,1021
86,DEM,528
87,DEM,366
88,DEM,123
89,DEM,302
90,DEM,1488
91,DEM,822
92,DEM,597
93,DEM,775
94,DEM,498
95,DEM,942
96,DEM,920
97,DEM,1084
98,DEM,947
99,DEM,1286
100,DEM,459
101,DEM,1336
102,DEM,670
103,DEM,940
104,DEM,224
105,DEM,933
106,DEM,223
107,DEM,1549
108,DEM,1251
109,DEM,1493
110,DEM,1897
111,DEM,1550
112,DEM,655