Precinct,REP,DEM
101,528,2227
102,226,1131
103,187,381
104,195,1108
105,385,2302
106,192,398
107,464,981
108,637,1369
109,234,1378
110,60,154
111,121,320
112,150,873
113,35,1045
114,29,864
115,33,922
116,91,990
117,32,725
118,260,717
119,97,1502
120,89,1848
121,136,351
122,61,129
123,811,1705
125,282,849
126,82,461
127,286,1054
128,527,1168
129,566,1243
130,878,1512
131,391,511
132,471,526
133,475,610
134,312,811
135,903,1854
136,550,903
137,462,686
138,1213,1061
139,536,609
140,1470,1848
141,616,945
142,941,882
143,1078,686
144,1694,1372
145,741,780
146,416,439
147,367,408
148,1425,1668
149,336,329
150,1359,1365
151,532,543
152,586,672
153,1395,1545
154,537,418
155,1450,1607
156,877,1003
157,316,263
158,579,624
159,1142,1161
160,1229,848
161,1043,1564
162,1260,2244
163,579,443
164,16,14
165,4,7
200,821,570
201,931,1202
202,871,862
203,118,925
204,20,462
205,87,1073
206,206,511
207,227,404
208,1273,1201
209,570,1034
210,588,808
211,281,254
212,334,335
213,409,482
214,1541,1619
215,754,363
216,782,751
217,2,6
218,139,298
219,439,531
220,269,500
221,528,785
222,1311,1435
223,34,49
224,38,1048
225,381,834
226,40,549
227,198,1196
228,174,507
229,725,810
230,675,576
231,1111,1062
232,894,776
233,509,709
234,549,557
235,782,701
236,783,707
237,807,767
238,620,613
239,1003,1214
240,705,570
241,889,771
242,784,805
243,480,496
244,625,539
245,636,471
246,544,473
247,867,750
248,736,667
249,308,266
250,1062,948
251,988,711
252,957,830
253,4,2
254,647,446
255,848,624
256,690,482
257,1144,781
258,402,326
259,2028,1902
260,522,505
261,721,631
262,0,0
263,742,608
264,108,74
265,706,682
266,1420,906
267,225,153
268,674,515
269,712,587
270,128,52
271,25,37
272,453,373
273,258,201
274,761,625
275,311,258
301,582,385
302,936,808
303,834,540
304,492,323
305,1238,847
306,1264,832
307,1548,1080
308,578,310
309,2286,1429
310,1314,927
311,725,454
312,703,466
313,967,498
314,704,387
315,589,357
316,338,184
317,1211,921
318,595,423
319,196,81
320,1057,823
321,520,393
322,1971,1732
323,757,702
324,241,743
325,945,831
326,649,609
327,1362,1082
328,720,623
329,689,579
330,481,514
331,908,1212
332,0,0
333,695,571
334,749,728
335,998,799
336,792,725
337,1337,1127
338,937,681
339,841,760
340,716,555
341,747,612
342,818,617
343,1191,634
344,1899,948
345,1170,1154
346,682,760
347,1094,715
348,1120,687
349,1275,821
350,695,522
401,1766,1019
402,787,582
403,925,681
404,809,616
405,914,646
406,888,489
407,614,368
408,740,451
409,471,405
415,1518,895
416,555,399
417,611,381
418,908,555
419,596,331
420,1590,1064
421,58,15
422,772,360
500,209,631
501,920,1006
502,775,734
503,666,565
504,1111,891
505,776,790
506,819,778
507,870,646
508,654,569
509,355,438
510,560,681
511,1011,1010
512,286,260
513,1288,705
514,1178,570
515,1436,609
516,654,1540
517,498,955
518,1735,1619
519,1210,782
520,429,350
521,813,683
522,1641,1381
523,877,691
524,394,404
525,461,327
526,2060,1826
527,995,971
528,594,721
529,766,817
530,1186,957
531,1149,842
532,925,629
533,837,670
534,1062,807
535,1382,1385
536,1245,827
537,1199,1490
538,2328,1681
539,1299,900
540,2311,1644
541,1006,683
542,2125,1326
543,1025,651
544,1490,956
545,672,392
600,4,0
601,1527,1615
602,1162,951
603,1021,894
604,351,260
605,454,766
606,905,870
607,720,782
608,779,731
609,662,672
610,707,479
611,1075,851
612,773,852
613,533,550
614,1441,1255
615,1128,977
616,1234,1107
617,1560,1312
618,702,430
619,792,523
620,1210,843
621,1094,968
622,1590,1351
623,1416,1032
624,648,446
625,879,770
626,816,750
627,2809,1863
628,723,571
629,757,705
630,756,623
631,870,805
632,1549,1125
633,1809,1140
634,961,456
635,1217,875
636,1256,755
637,2450,1719
638,1736,999
701,1875,1281
702,689,641
703,610,430
704,1144,795
705,1089,761
706,1103,674
710,302,160
711,1566,766